Column1.id_project,Column1.project,Column1.data.id_address,Column1.data.address_identifier,Column1.data.date,Column1.data.energy,Column1.data.injec,Column1.data.reactive_in,Column1.data.reactive_cap,Column1.data.reactive_ex,Column1.data.ia,Column1.data.ib,Column1.data.ic,Column1.data.va,Column1.data.vb,Column1.data.vc,Column1.data.freq
1446,TCC SAS - PRINCIPAL IBAGUE,1450,TS-M9 - Principal,2022-07-03T23:00:00,1.584,0,0,0,0,0,0,0,0,0,0,0
1446,TCC SAS - PRINCIPAL IBAGUE,1450,TS-M9 - Principal,2022-07-04T00:00:00,1.572,0,0,0,0,0,0,0,0,0,0,0
1446,TCC SAS - PRINCIPAL IBAGUE,1450,TS-M9 - Principal,2022-07-04T01:00:00,1.572,0,0.4,0,0,0,0,0,0,0,0,0
1446,TCC SAS - PRINCIPAL IBAGUE,1450,TS-M9 - Principal,2022-07-04T02:00:00,1.536,0,0,0,0,0,0,0,0,0,0,0
1446,TCC SAS - PRINCIPAL IBAGUE,1450,TS-M9 - Principal,2022-07-04T03:00:00,1.556,0,0,0,0,0,0,0,0,0,0,0
1446,TCC SAS - PRINCIPAL IBAGUE,1450,TS-M9 - Principal,2022-07-04T04:00:00,1.532,0,0.4,0,0,0,0,0,0,0,0,0
1446,TCC SAS - PRINCIPAL IBAGUE,1450,TS-M9 - Principal,2022-07-04T05:00:00,1.152,0,0,0,0,0,0,0,0,0,0,0
1446,TCC SAS - PRINCIPAL IBAGUE,1450,TS-M9 - Principal,2022-07-04T06:00:00,0.82,0,0,0,0,0,0,0,0,0,0,0
1446,TCC SAS - PRINCIPAL IBAGUE,1450,TS-M9 - Principal,2022-07-04T07:00:00,0.816,0,0,0,0,0,0,0,0,0,0,0
1446,TCC SAS - PRINCIPAL IBAGUE,1450,TS-M9 - Principal,2022-07-04T08:00:00,0.892,0,0.4,0,0,0,0,0,0,0,0,0
1446,TCC SAS - PRINCIPAL IBAGUE,1450,TS-M9 - Principal,2022-07-04T09:00:00,0.924,0,0,0,0,0,0,0,0,0,0,0
1446,TCC SAS - PRINCIPAL IBAGUE,1450,TS-M9 - Principal,2022-07-04T10:00:00,0.98,0,0.4,0,0,0,0,0,0,0,0,0
1446,TCC SAS - PRINCIPAL IBAGUE,1450,TS-M9 - Principal,2022-07-04T11:00:00,1.304,0,0.4,0,0,0,0,0,0,0,0,0
1446,TCC SAS - PRINCIPAL IBAGUE,1450,TS-M9 - Principal,2022-07-04T12:00:00,1.072,0,0,0,0,0,0,0,0,0,0,0
1446,TCC SAS - PRINCIPAL IBAGUE,1450,TS-M9 - Principal,2022-07-04T13:00:00,1.212,0,0.4,0,0,0,0,0,0,0,0,0
1446,TCC SAS - PRINCIPAL IBAGUE,1450,TS-M9 - Principal,2022-07-04T14:00:00,1.236,0,0,0,0,0,0,0,0,0,0,0
1446,TCC SAS - PRINCIPAL IBAGUE,1450,TS-M9 - Principal,2022-07-04T15:00:00,1.084,0,0.4,0,0,0,0,0,0,0,0,0
1446,TCC SAS - PRINCIPAL IBAGUE,1450,TS-M9 - Principal,2022-07-04T16:00:00,1.252,0,0.4,0,0,0,0,0,0,0,0,0
1446,TCC SAS - PRINCIPAL IBAGUE,1450,TS-M9 - Principal,2022-07-04T17:00:00,1.016,0,0,0,0,0,0,0,0,0,0,0
1446,TCC SAS - PRINCIPAL IBAGUE,1450,TS-M9 - Principal,2022-07-04T18:00:00,1.464,0,0.4,0,0,0,0,0,0,0,0,0
1446,TCC SAS - PRINCIPAL IBAGUE,1450,TS-M9 - Principal,2022-07-04T19:00:00,1.952,0,0,0,0,0,0,0,0,0,0,0
1446,TCC SAS - PRINCIPAL IBAGUE,1450,TS-M9 - Principal,2022-07-04T20:00:00,1.896,0,0,0,0,0,0,0,0,0,0,0
1446,TCC SAS - PRINCIPAL IBAGUE,1450,TS-M9 - Principal,2022-07-04T21:00:00,1.964,0,0.4,0,0,0,0,0,0,0,0,0
1446,TCC SAS - PRINCIPAL IBAGUE,1450,TS-M9 - Principal,2022-07-04T22:00:00,1.816,0,0,0,0,0,0,0,0,0,0,0
1446,TCC SAS - PRINCIPAL IBAGUE,1450,TS-M9 - Principal,2022-07-04T23:00:00,1.74,0,0,0,0,0,0,0,0,0,0,0
1446,TCC SAS - PRINCIPAL IBAGUE,1450,TS-M9 - Principal,2022-07-05T00:00:00,1.7,0,0.4,0,0,0,0,0,0,0,0,0
1446,TCC SAS - PRINCIPAL IBAGUE,1450,TS-M9 - Principal,2022-07-05T01:00:00,1.704,0,0,0,0,0,0,0,0,0,0,0
1446,TCC SAS - PRINCIPAL IBAGUE,1450,TS-M9 - Principal,2022-07-05T02:00:00,1.772,0,0,0,0,0,0,0,0,0,0,0
1446,TCC SAS - PRINCIPAL IBAGUE,1450,TS-M9 - Principal,2022-07-05T03:00:00,1.692,0,0,0,0,0,0,0,0,0,0,0
1446,TCC SAS - PRINCIPAL IBAGUE,1450,TS-M9 - Principal,2022-07-05T04:00:00,1.696,0,0.4,0,0,0,0,0,0,0,0,0
1446,TCC SAS - PRINCIPAL IBAGUE,1450,TS-M9 - Principal,2022-07-05T05:00:00,1.928,0,0,0,0,0,0,0,0,0,0,0
1446,TCC SAS - PRINCIPAL IBAGUE,1450,TS-M9 - Principal,2022-07-05T06:00:00,1.912,0,0,0,0,0,0,0,0,0,0,0
1446,TCC SAS - PRINCIPAL IBAGUE,1450,TS-M9 - Principal,2022-07-05T07:00:00,2.7,0,0,0,0,0,0,0,0,0,0,0
1446,TCC SAS - PRINCIPAL IBAGUE,1450,TS-M9 - Principal,2022-07-05T08:00:00,2.704,0,0.4,0,0,0,0,0,0,0,0,0
1446,TCC SAS - PRINCIPAL IBAGUE,1450,TS-M9 - Principal,2022-07-05T09:00:00,3.348,0,0.4,0,0,0,0,0,0,0,0,0
1446,TCC SAS - PRINCIPAL IBAGUE,1450,TS-M9 - Principal,2022-07-05T10:00:00,3.724,0,0.4,0,0,0,0,0,0,0,0,0
1446,TCC SAS - PRINCIPAL IBAGUE,1450,TS-M9 - Principal,2022-07-05T11:00:00,2.892,0,0.4,0,0,0,0,0,0,0,0,0
1446,TCC SAS - PRINCIPAL IBAGUE,1450,TS-M9 - Principal,2022-07-05T12:00:00,2.64,0,0.4,0,0,0,0,0,0,0,0,0
1446,TCC SAS - PRINCIPAL IBAGUE,1450,TS-M9 - Principal,2022-07-05T13:00:00,2.576,0,0.4,0,0,0,0,0,0,0,0,0
1446,TCC SAS - PRINCIPAL IBAGUE,1450,TS-M9 - Principal,2022-07-05T14:00:00,2.724,0,0.8,0,0,0,0,0,0,0,0,0
1446,TCC SAS - PRINCIPAL IBAGUE,1450,TS-M9 - Principal,2022-07-05T15:00:00,3.496,0,0.8,0,0,0,0,0,0,0,0,0
1446,TCC SAS - PRINCIPAL IBAGUE,1450,TS-M9 - Principal,2022-07-05T16:00:00,3.056,0,0.8,0,0,0,0,0,0,0,0,0
1446,TCC SAS - PRINCIPAL IBAGUE,1450,TS-M9 - Principal,2022-07-05T17:00:00,2.864,0,0.4,0,0,0,0,0,0,0,0,0
1446,TCC SAS - PRINCIPAL IBAGUE,1450,TS-M9 - Principal,2022-07-05T18:00:00,2.368,0,0,0,0,0,0,0,0,0,0,0
1446,TCC SAS - PRINCIPAL IBAGUE,1450,TS-M9 - Principal,2022-07-05T19:00:00,2.32,0,0,0,0,0,0,0,0,0,0,0
1446,TCC SAS - PRINCIPAL IBAGUE,1450,TS-M9 - Principal,2022-07-05T20:00:00,2.272,0,0,0,0,0,0,0,0,0,0,0
1446,TCC SAS - PRINCIPAL IBAGUE,1450,TS-M9 - Principal,2022-07-05T21:00:00,2.164,0,0.4,0,0,0,0,0,0,0,0,0
1446,TCC SAS - PRINCIPAL IBAGUE,1450,TS-M9 - Principal,2022-07-05T22:00:00,1.864,0,0,0,0,0,0,0,0,0,0,0
1446,TCC SAS - PRINCIPAL IBAGUE,1450,TS-M9 - Principal,2022-07-05T23:00:00,1.888,0,0,0,0,0,0,0,0,0,0,0
1446,TCC SAS - PRINCIPAL IBAGUE,1450,TS-M9 - Principal,2022-07-06T00:00:00,1.96,0,0,0,0,0,0,0,0,0,0,0
1446,TCC SAS - PRINCIPAL IBAGUE,1450,TS-M9 - Principal,2022-07-06T01:00:00,1.632,0,0.4,0,0,0,0,0,0,0,0,0
1446,TCC SAS - PRINCIPAL IBAGUE,1450,TS-M9 - Principal,2022-07-06T02:00:00,1.648,0,0,0,0,0,0,0,0,0,0,0
1446,TCC SAS - PRINCIPAL IBAGUE,1450,TS-M9 - Principal,2022-07-06T03:00:00,1.8,0,0.4,0,0,0,0,0,0,0,0,0
1446,TCC SAS - PRINCIPAL IBAGUE,1450,TS-M9 - Principal,2022-07-06T04:00:00,1.752,0,0,0,0,0,0,0,0,0,0,0
1446,TCC SAS - PRINCIPAL IBAGUE,1450,TS-M9 - Principal,2022-07-06T05:00:00,1.832,0,0,0,0,0,0,0,0,0,0,0
1446,TCC SAS - PRINCIPAL IBAGUE,1450,TS-M9 - Principal,2022-07-06T06:00:00,1.848,0,0,0,0,0,0,0,0,0,0,0
1446,TCC SAS - PRINCIPAL IBAGUE,1450,TS-M9 - Principal,2022-07-06T07:00:00,2.72,0,0,0,0,0,0,0,0,0,0,0
1446,TCC SAS - PRINCIPAL IBAGUE,1450,TS-M9 - Principal,2022-07-06T08:00:00,2.928,0,0.4,0,0,0,0,0,0,0,0,0
